paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,"1129_Arino H. et al. - 2015 - GAD autoimmunity Syndromes, comorbidities, and co.pdf",data\extraction_json\text\1129.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1129.json,132,432,398,1139,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M103,"GAD Autoimmunity: Syndromes, Comorbidities, and Coexisting Antibodies in 121 Patients",1.0000,0.5000,0.8750,,,0,false,false,1,72,72,8089,8125,2026-04-11T23:52:05.876183+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,1138_Cavalcante V. and Souza Bulle Oliveira A. - 2015 - Stiff person syndrome Review of 14 patients.pdf,data\extraction_json\text\1138.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1138.json,1,6,11,20,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff person syndrome: review of 14 patients,1.0000,1.0000,1.0000,,override_strip_terminal_doi,4,false,false,1,0,0,58,91,2026-04-11T23:52:17.730264+00:00
1215,1215,Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications,Toh J.; Gavrilova T.; Rubinstein A.,1215_Toh Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications.pdf,data\extraction_json\text\1215.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1215.json,1,3,19,7,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,58,58 Three Cases of Elevated IL-1beta in Common Variable Immunodeficiency (CVID) with Autoimmune Complications,0.9950,1.0000,0.9962,,,5,false,false,1,0,0,71,112,2026-04-11T23:52:36.347229+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,1227_Albahra S. et al. - 2016 - Role of plasma exchange in stiff person syndrome.pdf,data\extraction_json\text\1227.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1227.json,70,63,507,394,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,77,ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME,1.0000,1.0000,0.8843,backtrack_abstract_boundary,next_abstract_boundary,4,false,false,1,44,44,4995,5057,2026-04-11T23:53:42.790236+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1229.json,234,66,291,232,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P11168,P11168 Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of Hodgkin’s lymphoma: a,0.8565,1.0000,0.8924,,,5,false,false,1,79,79,6468,6512,2026-04-11T23:55:08.301445+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,1230_Vaz S. et al. - 2016 - Stiff Person Syndrome A female case report with f.pdf,data\extraction_json\text\1230.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1230.json,279,62,293,286,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32164,P32164 Stiff Person Syndrome: a female case report with focal onset and multiple limb involvement,0.9868,1.0000,0.9901,,,4,false,false,1,228,228,18442,18485,2026-04-11T23:56:42.866125+00:00
1231,1231,Therapeutic challenges of stiff person syndrome: A case report,Varga E.T.; Gyorgyi Md T.; Vecsei L.,1231_Varga E.T. et al. - 2016 - Therapeutic challenges of stiff person syndrome A.pdf,data\extraction_json\text\1231.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1231.json,279,62,293,286,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32209,P32209 Therapeutic challenges of stiff person syndrome: a case report,0.9810,1.0000,0.9858,,,5,false,false,1,253,253,20490,20531,2026-04-11T23:58:09.657308+00:00
1233,1233,Stiff person syndrome,Dosekova P.; Krastev G.; Haring J.; Lackovic R.,1233_mds.26688.pdf,data\extraction_json\text\1233.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1233.json,697,96,459,270,0,6,true,true,0.0903,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1791,1791 Stiff person syndrome,0.9628,1.0000,0.9721,,,6,false,false,1,590,590,71561,71599,2026-04-12T00:02:31.927808+00:00
1237,1237,Stiff person syndrome: Case series,Sasse E.; Amorelli G.; Spitz M.; Germano C.S.B.; Vasconcellos L.F.,1237_Sasse E. et al. - 2016 - Stiff person syndrome Case series.pdf,data\extraction_json\text\1237.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1237.json,697,96,459,270,0,6,true,true,0.0834,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1822,1822 Stiff person syndrome: Case series,0.9754,1.0000,0.9815,,,5,false,false,1,600,600,73426,73469,2026-04-12T00:06:57.949709+00:00
1239,1239,Stiff-person syndrome and hypogammaglobulinaemia: An unusual combination,Suratannon N.; Dalm V.; Van Bilsen K.; Van Paassen P.; Tervaert J.W.C.; Driessen G.J.; Wentink M.W.; Van Der Burg M.; Van Hagen P.M.,1239_Suratannon N. et al. - 2016 - Stiff-person syndrome and hypogammaglobulinaemia .pdf,data\extraction_json\text\1239.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1239.json,92,100,570,484,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1001,1001 Stiff-person syndrome and hypogammaglobulinaemia: an unusual combination,0.9881,0.6250,0.8973,,,4,false,false,1,37,37,6196,6275,2026-04-12T00:09:02.437510+00:00
1242,1242,Stiff-person syndrome in association with cerebellar ataxia: Overlapping syndrome: A case report,Chauhan V.H.; Jowkar A.A.,1242_Chauhan V.H. and Jowkar A.A. - 2016 - Stiff-person syndrome in association with cerebell.pdf,data\extraction_json\text\1242.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1242.json,265,549,396,1446,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M311WIP,Stiff-Person Syndrome in Association with,0.8301,0.0000,0.6226,,,1,false,false,1,235,235,26408,26422,2026-04-12T00:10:40.644340+00:00
1245,1245,Bilateral hip fracture during hospitalization for spasm exacerbation in an adult with stiff person syndrome: A case report,Podobinski T.K.; Mimbella P.C.; Irvine M.J.; Verduzco-Gutierrez M.,1245_Podobinski-2016-Bilateral hip fracture during.pdf,data\extraction_json\text\1245.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1245.json,2,6,24,32,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Poster 237,Poster 237 Bilateral Hip Fracture During Hospitalization for Spasm Exacerbation in an Adult with Stiff Person Syndrome: A Case Report,0.9848,0.2500,0.8011,,,4,false,false,1,0,1,107,139,2026-04-12T00:11:27.416775+00:00
1246,1246,Acute rehabilitation of a patient with stiff person syndrome (SPS) and GAD-antibody cerebellar Ataxia: A case report,Strong N.A.; Love N.F.; Brusky K.M.; Salim S.,1246_Strong-2016-Acute rehabilitation of a patient.pdf,data\extraction_json\text\1246.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1246.json,2,3,30,31,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Poster 360,Poster 360 Acute Rehabilitation of a Patient with Stiff Person Syndrome (SPS) and GAD-Antibody Cerebellar Ataxia: A Case Report,0.9838,0.5000,0.8003,,,4,false,false,1,0,1,83,129,2026-04-12T00:12:10.089413+00:00
1251,1251,Double trouble: Opisthotonos associated with guillain-barre Syndrome and GAD autoantibody,Alwis A.; Ram D.; Vassallo G.,1251_Alwis A. et al. - 2016 - Double trouble Opisthotonos associated with guill.pdf,data\extraction_json\text\1251.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1251.json,58,101,451,398,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,126,126 Double trouble: opisthotonos associated with Guillain-Barr/C19e Syndrome and GAD autoantibody,0.9126,0.6667,0.8511,,,4,false,false,1,49,50,5484,5529,2026-04-12T00:13:28.981714+00:00
1257,1257,Left-side asymmetry in cortical and spinal inhibitory circuits in stiff-person syndrome: A case report,Bocek V.; Cvickova B.; Peisker T.; Stetkarova I.,1257_Bocek V. et al. - 2016 - Left-side asymmetry in cortical and spinal inhibit.pdf,data\extraction_json\text\1257.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1257.json,1,3,11,13,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,ID 140,Left-side asymmetry in cortical and spinal inhibitory,0.8584,1.0000,0.8938,,,4,false,false,1,0,0,20,51,2026-04-12T00:13:45.256681+00:00
1332,1332,Stiff face syndrome associated with glycine receptor antibodies,Gadian J.; Lascelles K.; Lim M.,1332_Gadian J. et al. - 2017 - Stiff face syndrome associated with glycine recept.pdf,data\extraction_json\text\1332.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1332.json,15,45,200,260,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff face syndrome associated with glycine receptor antibodies,1.0000,1.0000,1.0000,,,4,false,false,1,6,7,749,795,2026-04-12T00:14:39.732649+00:00
1333,1333,Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): A paediatric presentation,Kariyawasam D.S.T.; Hildebrand D.; Jayawant S.; Palace J.; Leite M.I.; Ramdas S.,1333_Kariyawasam D.S.T. et al. - 2017 - Glycine antibody mediated progressive encephalomye.pdf,data\extraction_json\text\1333.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1333.json,90,97,453,340,1,5,true,true,0.1516,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,107,107 12th January 2017 Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): a paediatric presentation,0.9692,0.6667,0.8936,,,4,false,false,1,40,40,4460,4510,2026-04-12T00:16:04.438551+00:00
1393,1393,Stiff limb syndrome: A case report,Farhat E.; Zouari M.; Beyrouti R.; Sassi S.B.; Hentati F.,1393_Euro J of Neurology - 2014 - - Paper Poster Sessions.pdf,data\extraction_json\text\1393.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1393.json,323,107,328,365,2,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP2171,PP2171 Stiff limb syndrome: a case report,0.9664,1.0000,0.9748,,,4,false,false,1,134,134,10943,10980,2026-04-12T00:17:33.641002+00:00
1395,1395,An atypical Stiff-Person Syndrome associated with type 3 autoimmune polyglandular syndrome,Viana P.; Abreu L.; Fonseca V.R.; Cortes M.; Neutel D.; Pita Lobo P.; Albuquerque L.,1395_Atypical - s00415-014-7337-4.pdf,data\extraction_json\text\1395.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1395.json,524,111,492,434,2,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP4124,PP4124 An atypical Stiff-Person syndrome associated with type 3 autoimmune polyglandular syndrome,0.9869,1.0000,0.9902,,,4,false,false,1,433,433,48260,48295,2026-04-12T00:21:01.773648+00:00
1397,1397,Reducing excess stiffness in stiff-person syndrome using CBT: A case study,Morris L.L.; Dysch L.; Salkovskis P.M.,1397_Movement Disorders - 2014 - - Poster Presentations.pdf,data\extraction_json\text\1397.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1397.json,571,102,382,182,1,8,true,true,0.1193,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,65,65 Reducing excess stiffness in stiff-person syndrome using CBT: A case study,0.9930,1.0000,0.9947,,,6,false,false,1,22,23,2619,2649,2026-04-12T00:24:42.704136+00:00
1398,1398,A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,Rachana G.; Tarannum K.,1398_mds.25914.pdf,data\extraction_json\text\1398.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1398.json,571,104,382,182,0,6,true,true,0.0800,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,321,321 A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,0.9923,1.0000,0.9942,,,5,false,false,1,124,124,13482,13516,2026-04-12T00:28:05.292094+00:00
1407,1407,Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,Wilenius J.; Vaalto S.; Toppila J.; Partanen J.,1407_Wilenius P1022 Increased cortical excitability.pdf,data\extraction_json\text\1407.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1407.json,1,3,14,11,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P1022,P1022 Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,0.9935,1.0000,0.9951,,,3,false,false,1,0,0,33,65,2026-04-12T00:28:18.653819+00:00
1416,1416,Immunomodulatory therapy in stiff-person syndrome (SPS): A controlled Rituximab-randomised study,Amarandei M.,1416_Amarandei M. - 2017 - Immunomodulatory therapy in stiff-person syndrome .pdf,data\extraction_json\text\1416.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1416.json,627,89,368,256,1,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1292,1292 Immunomodulatory therapy in stiff-person syndrome (SPS): a controlled Rituximab-randomised study,0.9908,1.0000,0.9931,,,5,false,false,1,505,505,51267,51302,2026-04-12T00:31:47.074753+00:00
1418,1418,Stiff-limb syndrome with cerebellar features and atypical EMG findings responds to IVIG,Rametta S.; Robinson G.; Hellmers N.; Jacoby N.; Sarva H.,1418_Rametta S. et al. - 2017 - Stiff-limb syndrome with cerebellar features and a.pdf,data\extraction_json\text\1418.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1418.json,627,89,368,256,1,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1316,1316 Stiff-limb syndrome with cerebellar features and atypical EMG ﬁndings responds to IVIG,0.9902,1.0000,0.9927,,,5,false,false,1,515,516,52221,52268,2026-04-12T00:34:50.842918+00:00
1433,1433,Early empirical treatment of antibody-negative autoimmune/paraneoplastic encephalitis with immunosuppression,Dai P.; Lin M.-W.; Mahant N.; Gao B.; Brown D.,1433_imj.7_13579.pdf,data\extraction_json\text\1433.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\text_trimmed\1433.json,1,5,24,14,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,CGR 7,EARLY EMPIRICAL TREATMENT OF ANTIBODY-NEGATIVE AUTOIMMUNE/PARANEOPLASTIC ENCEPHALITIS WITH IMMUNOSUPPRESSION,1.0000,1.0000,0.9089,backtrack_abstract_boundary,next_abstract_boundary,1,false,false,1,0,0,72,116,2026-04-12T00:35:11.569315+00:00
