paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1395,1395,An atypical Stiff-Person Syndrome associated with type 3 autoimmune polyglandular syndrome,Viana P.; Abreu L.; Fonseca V.R.; Cortes M.; Neutel D.; Pita Lobo P.; Albuquerque L.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1395.json,qa\trimming\reports\batch_005\text_trimmed\1395.json,qa\trimming\reports\batch_005\text_trimmed\1395.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,433,0.7969,1.0000,0.8476,4,1837,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP4124 An atypical Stiff-Person syndrome associated with type 3 autoimmune polyglandular syndrome P. Viana1, L. Abreu 1, V.R. Fonseca 2, M. Cortes 2, D. Neutel1, P. Pita Lobo 1, L. Albuquerque 1 1Neurology; 2Internal Medicine, Hospital de Santa Maria, University of Lisbon, Lisboa, Portugal Introduction: Stiff-Person Syndrome (SPS) is strongly associated with other autoimmune diseases. Autoimmune Polyglandular Syndrome (APS) is characterized by the coexistence of at least two glandular autoimmune",Trimmed proceedings text matches and appears complete.,2026-04-10T02:11:26.989100+00:00
1397,1397,Reducing excess stiffness in stiff-person syndrome using CBT: A case study,Morris L.L.; Dysch L.; Salkovskis P.M.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1397.json,qa\trimming\reports\batch_005\text_trimmed\1397.json,qa\trimming\reports\batch_005\text_trimmed\1397.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,22,0.7621,1.0000,0.8215,6,1319,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"65 Reducing excess stiffness in stiff-person syndrome using CBT: A case study L.L. Morris, L. Dysch, P.M. Salkovskis (Bath, United Kingdom) Objective: This case study describes the treatment of Mr A, a patient with Stiff Person Syndrome (SPS) whose lower limb stiffen- ing was aggravated severely in public situations by social anxiety. Background: SPS is a rare neurological condition, characterised by rigidity in the trunk and limbs. Comorbid anxiety is common in this condition, and is known to e",Trimmed proceedings text matches and appears complete.,2026-04-10T02:11:37.880896+00:00
1398,1398,A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,Rachana G.; Tarannum K.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1398.json,qa\trimming\reports\batch_005\text_trimmed\1398.json,qa\trimming\reports\batch_005\text_trimmed\1398.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,124,0.7878,1.0000,0.8409,5,1698,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"321 A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies G. Rachana, K. Tarannum (Weston, FL, USA) Objective: To describe a neurological syndrome in a patient with Anti glutamic acid decarboxylase (GAD) antibodies. Background: Stiff-person syndrome (SPS) is an autoimmune dis- order characterized by progressive muscle stiffness, rigidity, and spasm involving the axial muscles, resulting in severely impaired ambulation. Circulating anti-GAD antibodies are pre",Trimmed proceedings text matches and appears complete.,2026-04-10T02:11:48.605811+00:00
1407,1407,Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,Wilenius J.; Vaalto S.; Toppila J.; Partanen J.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1407.json,qa\trimming\reports\batch_005\text_trimmed\1407.json,qa\trimming\reports\batch_005\text_trimmed\1407.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.8571,1.0000,0.8928,3,1626,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P1022 Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients J. Wilenius, S. Vaalto, J. Toppila, J. Partanen Hospital District of Helsinki and Uusimaa, Department of Clinical Neurophysiology, Helsinki, Finland Question: Stiff person syndrome (SPS) is a rare neurological condition char- acterized by stiffness and spasms of the axial and limb muscles. Cortical and spinal hyperexcitabilities are",Trimmed proceedings text matches and appears complete.,2026-04-10T02:11:48.638809+00:00
