paper_id,start_line_global_index,end_line_global_index_exclusive,strip_terminal_doi,reason
1138,,,true,Reviewed regression baseline ends before the trailing DOI line.
1446,95,138,,Reviewed regression baseline keeps the leading proceedings code lines.
1511,1262,1365,,Reviewed regression baseline requires the historically approved span.
1597,,,true,Reviewed regression baseline ends before the trailing DOI line.
1721,,,true,Reviewed regression baseline ends before the trailing DOI line.
1722,,,true,Explicit reviewed end feedback stops before the trailing DOI line.
1918,,,true,Reviewed regression baseline ends before the trailing DOI line.
