paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,ready_text_json_path,ready_source_kind,ready_text_mode,ready_source_detail,ready_source_input_path,source_text_json_path,llm_candidate_json_path,llm_trimmed_json_path,gold_json_path,ready_start_line_global_index,ready_end_line_global_index_exclusive,llm_trim_status,llm_validation_passed,llm_validation_reason,ready_reason,published_at_utc
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1129.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1129.json,data\extraction_json\text\1129.json,,,qa\trimming\gold_standard\papers\1129.json,8089,8125,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.878217+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1138.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1138.json,data\extraction_json\text\1138.json,data\extraction_json\text_trimmed_llm_candidates\1138.json,data\extraction_json\text_trimmed_llm\1138.json,qa\trimming\gold_standard\papers\1138.json,58,91,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.882398+00:00
1150,1150,Stiff person syndrome presenting as 'stiff eyes',Vinjam M.R.; Shanmugarajan P.; Ford H.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1150.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1150.json,data\extraction_json\text\1150.json,,,,5,34,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:16.907445+00:00
1153,1153,A new clinical tool (BRIT) to monitor IVIg efficacy in patients with stiff person syndrome,Weerasinghe S.; Sadalage G.; Jacob S.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1153.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1153.json,data\extraction_json\text\1153.json,,,,1,35,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:16.937686+00:00
1154,1154,Clinical features and treatment response in a large UK cohort of stiff person syndrome patients,Sadalage G.; Karim A.; Jacob S.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1154.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1154.json,data\extraction_json\text\1154.json,,,,,32,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:16.960481+00:00
1215,1215,Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications,Toh J.; Gavrilova T.; Rubinstein A.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1215.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1215.json,data\extraction_json\text\1215.json,,,qa\trimming\gold_standard\papers\1215.json,71,112,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.964183+00:00
1217,1217,Epidemiology of stiff person syndrome in the United States veterans health administration database,Galli J.; Greenlee J.; Soldan M.P.; Clardy S.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1217.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1217.json,data\extraction_json\text\1217.json,,,,,31,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:16.975288+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1227.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1227.json,data\extraction_json\text\1227.json,data\extraction_json\text_trimmed_llm_candidates\1227.json,data\extraction_json\text_trimmed_llm\1227.json,qa\trimming\gold_standard\papers\1227.json,4995,5057,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.979373+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1229.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1229.json,data\extraction_json\text\1229.json,data\extraction_json\text_trimmed_llm_candidates\1229.json,data\extraction_json\text_trimmed_llm\1229.json,qa\trimming\gold_standard\papers\1229.json,6468,6512,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.983507+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1230.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1230.json,data\extraction_json\text\1230.json,data\extraction_json\text_trimmed_llm_candidates\1230.json,data\extraction_json\text_trimmed_llm\1230.json,qa\trimming\gold_standard\papers\1230.json,18442,18485,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.987650+00:00
