paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1922,1922,Stiff person syndrome presenting with spastic dysarthria,Persaud A.; Shneyder N.; Pulley M.; Giles S.,1922_Persaud A. et al. - 2018 - Stiff person syndrome presenting with spastic dysa.pdf,data\extraction_json\text\1922.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_008\tranche_008\text_trimmed\1922.json,104,82,476,361,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,116,116 Stiff Person Syndrome Presenting with Spastic Dysarthria,0.9879,1.0000,0.9909,,,5,false,false,1,45,45,5369,5405,2026-04-11T23:09:56.814769+00:00
1923,1923,Intrathecal baclofen effects in stiff person syndrome: Clinical and instrumented gait analysis,Rocha M.S.; Terzian P.R.; Ferreira R.; Majdoub A.A.; Barbosa J.; Godinho F.,1923_Rocha M.S. et al. - 2018 - Intrathecal baclofen effects in stiff person syndr.pdf,data\extraction_json\text\1923.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_008\tranche_008\text_trimmed\1923.json,104,82,476,361,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,117,117 Intrathecal Baclofen Effects in Stiff Person Syndrome: Clinical and Instrumented Gait Analysis,0.9926,0.6667,0.9111,,,5,false,false,1,45,46,5405,5464,2026-04-11T23:12:08.474730+00:00
1924,1924,Status dystonicus in a young person as an unusual presentation of stiff person syndrome: A case report,Di Luca D.G.; Bette S.; Luca C.; Singer C.,1924_Di Luca-2018-Status dystonicus in a young pers.pdf,data\extraction_json\text\1924.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_008\tranche_008\text_trimmed\1924.json,104,82,476,361,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,148,Status Dystonicus in a Young Person as an Unusual Presentation of,0.8916,0.7500,0.8024,backtrack_abstract_boundary,next_abstract_boundary,5,false,false,1,58,59,7008,7059,2026-04-11T23:14:06.957177+00:00
